Afghanistan,visa required,
Albania,eVisa Apply now,
Algeria,visa required,
Andorra,visa required,
Angola,visa-free 30,30
Antigua and Barbuda,visa-free 90,90
Argentina,visa-free 90,90
Armenia,visa-free 180,180
Australia,eVisa Apply now,
Austria,visa required,
Azerbaijan,visa-free 90,90
Bahamas,visa-free 90,90
Bahrain,eVisa · visa on arrival 30 Apply now,30
Bangladesh,visa on arrival 30,30
Barbados,visa-free 90,90
Belarus,visa-free,
Belgium,visa required,
Belize,visa-free 90,90
Benin,eVisa Apply now,
Bhutan,eVisa Apply now,
Bolivia,visa-free 90,90
Bosnia and Herzegovina,visa-free 30,30
Botswana,visa-free 90,90
Brazil,visa-free 90,90
Brunei,visa-free 14,14
Bulgaria,visa required,
Burkina Faso,eVisa Apply now,
Burundi,eVisa · visa on arrival 30 Apply now,30
Cambodia,eVisa · visa on arrival 30 Apply now,30
Cameroon,eVisa Apply now,
Canada,visa required,
Cape Verde,visa-free (EASE) 60 Apply now,60
Central African Republic,visa required,
Chad,eVisa Apply now,
Chile,visa-free 90,90
China,visa-free 30,30
Colombia,visa-free 90,90
Comoros,visa on arrival 45,45
Congo,visa required,
Congo (Dem. Rep.),eVisa 7 Apply now,7
Costa Rica,visa-free 30,30
Cote d'Ivoire (Ivory Coast),pre-enrollment 90 Apply now,90
Croatia,visa required,
Cuba,visa-free 90,90
Cyprus,visa required,
Czech Republic,visa required,
Denmark,visa required,
Djibouti,eVisa · visa on arrival 90 Apply now,90
Dominica,visa-free 21,21
Dominican Republic,E-Ticket 30 Apply now,30
Ecuador,visa-free 90,90
Egypt,eVisa · visa on arrival 30 Apply now,30
El Salvador,visa-free 180,180
Equatorial Guinea,eVisa Apply now,
Eritrea,visa required,
Estonia,visa required,
Eswatini,visa-free 30,30
Ethiopia,eVisa · visa on arrival 90 Apply now,90
Fiji,visa-free 120,120
Finland,visa required,
France,visa required,
Gabon,eVisa 90 Apply now,90
Gambia,visa required,
Georgia,visa-free 360,360
Germany,visa required,
Ghana,eVisa Apply now,
Greece,visa required,
Grenada,visa-free 90,90
Guatemala,visa-free 90,90
Guinea,eVisa 90 Apply now,90
Guinea-Bissau,visa on arrival 90,90
Guyana,visa-free 90,90
Haiti,visa-free 90,90
Honduras,visa-free 90,90
Hong Kong,visa-free 14,14
Hungary,visa required,
Iceland,visa required,
India,eVisa 30 Apply now,30
Indonesia,eVisa · visa on arrival 30 Apply now,30
Iran,eVisa · visa on arrival 30 Apply now,30
Iraq,eVisa Apply now,
Ireland,visa required,
Israel,eTA 90 Apply now,90
Italy,visa required,
Jamaica,visa-free 90,90
Japan,visa required,
Jordan,visa-free 90,90
Kazakhstan,visa-free 90,90
Kenya,eTA 90 Apply now,90
Kiribati,visa-free 90,90
Kosovo,visa required,
Kuwait,visa required,
Kyrgyzstan,visa-free,
Laos,visa-free 30,30
Latvia,visa required,
Lebanon,visa on arrival 30,30
Lesotho,visa required,
Liberia,eVisa Apply now,
Libya,eVisa Apply now,
Liechtenstein,visa required,
Lithuania,visa required,
Luxembourg,visa required,
Macao,visa-free 30,30
Madagascar,eVisa · visa on arrival 90 Apply now,90
Malawi,eVisa Apply now,
Malaysia,Arrival Card 30 Apply now,30
Maldives,visa-free 90,90
Mali,visa required,
Malta,visa required,
Marshall Islands,visa on arrival 90,90
Mauritania,eVisa 90 Apply now,90
Mauritius,visa-free 90,90
Mexico,eTA 180 Apply now,180
Micronesia,visa-free 30,30
Moldova,visa-free 90,90
Monaco,visa required,
Mongolia,visa-free 30,30
Montenegro,visa-free 30,30
Morocco,visa-free 90,90
Mozambique,eTA 30 Apply now,30
Myanmar,visa-free 30,30
Namibia,visa-free 90,90
Nauru,visa-free 90,90
Nepal,eVisa · visa on arrival 150 Apply now,150
Netherlands,visa required,
New Zealand,visa required,
Nicaragua,visa-free 90,90
Niger,visa required,
Nigeria,eVisa 90 Apply now,90
North Korea,visa required,
North Macedonia,visa required,
Norway,visa required,
Oman,visa-free 14,14
Pakistan,eVisa Apply now,
Palau,visa-free 30,30
Palestinian Territories,visa-free,
Panama,visa-free 90,90
Papua New Guinea,eVisitors 30 Apply now,30
Paraguay,visa-free 90,90
Peru,visa-free 180,180
Philippines,visa-free 30,30
Poland,visa required,
Portugal,visa required,
Qatar,eVisa · visa on arrival 30 Apply now,30
Romania,visa required,
Rwanda,eVisa · visa on arrival 30 Apply now,30
Saint Kitts and Nevis,eTA 90,90
Saint Lucia,visa-free 42,42
Samoa,visa-free 90,90
San Marino,visa required,
Sao Tome and Principe,visa-free 15,15
Saudi Arabia,visa-free 90,90
Senegal,visa on arrival 30,30
Serbia,visa-free 30,30
Seychelles,tourist registration 90 Apply now,90
Sierra Leone,eVisa · visa on arrival 30 Apply now,30
Singapore,eVisa Apply now,
Slovakia,visa required,
Slovenia,visa required,
Solomon Islands,visa required,
Somalia,eVisa Apply now,
South Africa,visa-free 90,90
South Korea,eTA 60 Apply now,60
South Sudan,eVisa 90 Apply now,90
Spain,visa required,
Sri Lanka,eTA · visa on arrival 30 Apply now,30
St. Vincent and the Grenadines,visa-free 90,90
Sudan,visa required,
Suriname,tourist card 90 Apply now,90
Sweden,visa required,
Switzerland,visa required,
Syria,eVisa Apply now,
Taiwan,visa required,
Tajikistan,visa-free,
Tanzania,eVisa · visa on arrival Apply now,
Thailand,Arrival Card 60 Apply now,60
Timor-Leste,visa on arrival 30,30
Togo,eVisa 15 Apply now,15
Tonga,visa on arrival 31,31
Trinidad and Tobago,visa-free 90,90
Tunisia,visa-free 90,90
Turkmenistan,visa required,
Tuvalu,visa on arrival 30,30
Türkiye,visa-free 60,60
Uganda,eVisa Apply now,
Ukraine,visa required,
United Arab Emirates,visa-free 90,90
United Kingdom,visa required,
United States of America,visa required,
Uruguay,visa-free 90,90
Uzbekistan,visa-free,
Vanuatu,visa-free 120,120
Vatican City,visa required,
Venezuela,visa-free 90,90
Viet Nam,visa-free 45,45
Yemen,visa required,
Zambia,eVisa · visa on arrival 90 Apply now,90
Zimbabwe,eVisa · visa on arrival 90 Apply now,90
